categoria,frase
Fatura,Qual é o valor da minha fatura?
Fatura,Quando vence minha fatura?
Fatura,Minha fatura já fechou?
Fatura,Como faço para pagar a fatura?
Fatura,Posso parcelar o valor da fatura?
Fatura,Qual é o valor mínimo da fatura?
Fatura,Minha fatura está muito alta por quê?
Fatura,Quero ver o detalhamento da fatura
Fatura,Tem cobrança errada na minha fatura
Fatura,Como gerar a segunda via da fatura?
Fatura,Minha fatura ainda não chegou
Fatura,Posso pagar antes do vencimento?
Fatura,Quais juros estão na minha fatura?
Fatura,Quero negociar minha fatura
Fatura,Como ativar débito automático?
Fatura,Posso pagar só uma parte da fatura?
Fatura,Minha fatura está atrasada
Fatura,Como evitar juros na fatura?
Fatura,Quero ver faturas antigas
Fatura,Como baixar a fatura em PDF?
Fatura,Minha fatura já foi paga?
Fatura,Posso mudar a data de vencimento?
Fatura,Minha fatura veio duplicada
Fatura,Quero antecipar parcelas
Fatura,Como saber se paguei a fatura?
Fatura,Quero receber fatura por e-mail
Fatura,Tem compras que não reconheço
Fatura,Como contestar uma cobrança?
Fatura,Quero ver a fatura passada
Fatura,Minha fatura não atualiza
Fatura,Minha fatura sumiu
Fatura,Quero pagar agora
Fatura,Como pagar pelo app?
Fatura,Quero boleto da fatura
Fatura,Minha fatura está errada
Fatura,Quero ajuda com pagamento
Fatura,Como ver compras da fatura?
Fatura,Minha fatura aumentou muito
Fatura,Quero segunda via urgente
Fatura,Como cancelar cobrança?
Fatura,Minha fatura não carrega
Fatura,Quero enviar fatura por e-mail
Fatura,Como pagar no banco?
Fatura,Minha fatura está confusa
Fatura,Quero ajuda com atraso
Fatura,Como pagar mínimo?
Fatura,Minha fatura tem taxas
Fatura,Quero tirar dúvidas da fatura
Fatura,Como consultar valor total?
Fatura,Minha fatura não bate
Fatura,Quero parcelar dívida
Fatura,Como ver limite usado?
Fatura,Minha fatura tem juros?
Fatura,Quero cancelar parcelamento
Fatura,Como ver data de fechamento?
Fatura,Minha fatura mudou
Fatura,Quero revisar a fatura
Fatura,Como pagar com código de barras?
Fatura,Minha fatura não abre
Fatura,Quero baixar PDF
Fatura,Como pagar online?
Fatura,Minha fatura foi debitada?
Fatura,Quero mudar vencimento
Fatura,Como pagar boleto?
Fatura,Minha fatura tem compras indevidas
Fatura,Quero bloquear cobrança
Fatura,Como consultar saldo?
Fatura,Minha fatura está incompleta
Fatura,Quero dividir em parcelas
Fatura,Como calcular juros?
Fatura,Minha fatura subiu do nada
Fatura,Quero ajuda urgente
Fatura,Como pagar sem juros?
Fatura,Minha fatura está detalhada?
Fatura,Quero ver resumo
Fatura,Como pagar internacional?
Fatura,Minha fatura está correta agora
Fatura,Quero confirmar pagamento
Fatura,Como pagar atrasado?
Fatura,Minha fatura foi compensada?
Fatura,Quero histórico completo
Fatura,Minha fatura vence hoje
Fatura,Quero pagar antecipado
Fatura,Minha fatura venceu ontem
Fatura,Como evitar atraso?
Fatura,Quero desconto na fatura
Fatura,Minha fatura está em aberto
Fatura,Quero quitar tudo
Fatura,Como pagar com Pix?
Fatura,Minha fatura está zerada
Fatura,Quero ver valor atualizado
Fatura,Como saber fechamento?
Fatura,Minha fatura foi alterada
Fatura,Quero suporte da fatura
Fatura,Como ver última fatura?
Fatura,Minha fatura está correta
Fatura,Quero atendimento sobre fatura

Extrato,Quero ver meu extrato
Extrato,Como consultar extrato do cartão?
Extrato,Meu extrato não aparece
Extrato,Quero extrato atualizado
Extrato,Como baixar extrato?
Extrato,Meu extrato está errado
Extrato,Quero extrato detalhado
Extrato,Como ver compras no extrato?
Extrato,Extrato do mês atual
Extrato,Extrato do mês passado
Extrato,Quero extrato por data
Extrato,Como exportar extrato?
Extrato,Extrato em PDF
Extrato,Meu extrato sumiu
Extrato,Quero histórico completo
Extrato,Como filtrar extrato?
Extrato,Extrato não atualiza
Extrato,Quero extrato por categoria
Extrato,Extrato com compras recentes
Extrato,Como ver saldo no extrato?
Extrato,Extrato com valores errados
Extrato,Quero revisar extrato
Extrato,Extrato de compras internacionais
Extrato,Como ver extrato antigo?
Extrato,Extrato com parcelas
Extrato,Quero extrato resumido
Extrato,Extrato com juros
Extrato,Como imprimir extrato?
Extrato,Extrato não carrega
Extrato,Quero extrato do ano
Extrato,Extrato de hoje
Extrato,Como compartilhar extrato?
Extrato,Extrato com datas
Extrato,Quero extrato simples
Extrato,Extrato com detalhes
Extrato,Como acessar extrato online?
Extrato,Extrato com limite usado
Extrato,Quero extrato mensal
Extrato,Extrato por período
Extrato,Como corrigir extrato?
Extrato,Extrato com erro
Extrato,Quero extrato atualizado agora
Extrato,Extrato de transações
Extrato,Como ver extrato completo?
Extrato,Extrato com descrição
Extrato,Quero extrato do cartão
Extrato,Extrato com saldo disponível
Extrato,Como ver extrato no app?
Extrato,Extrato recente
Extrato,Quero extrato semanal
Extrato,Extrato com filtros
Extrato,Como ler extrato?
Extrato,Extrato com valores detalhados
Extrato,Quero extrato em tempo real
Extrato,Extrato com histórico
Extrato,Como baixar extrato PDF?
Extrato,Extrato não abre
Extrato,Quero extrato digital
Extrato,Extrato atualizado hoje
Extrato,Como consultar extrato antigo?
Extrato,Extrato com compras parceladas
Extrato,Quero extrato de compras
Extrato,Extrato com transações
Extrato,Como ver extrato detalhado?
Extrato,Extrato de pagamentos
Extrato,Quero extrato online
Extrato,Extrato completo
Extrato,Como obter extrato?
Extrato,Extrato automático
Extrato,Quero extrato mensal completo
Extrato,Extrato com resumo
Extrato,Como visualizar extrato?
Extrato,Extrato com movimentações
Extrato,Quero extrato rápido
Extrato,Extrato com todas compras
Extrato,Como acessar extrato rápido?
Extrato,Extrato com dados completos
Extrato,Quero extrato do dia
Extrato,Extrato com valores recentes
Extrato,Como ver extrato geral?
Extrato,Extrato com resumo geral
Extrato,Quero extrato fácil
Extrato,Extrato completo histórico
Extrato,Como consultar extrato rápido?
Extrato,Extrato atualizado sempre
Extrato,Quero extrato preciso

Limite,Qual é meu limite?
Limite,Quanto tenho disponível?
Limite,Quero aumentar meu limite
Limite,Meu limite diminuiu
Limite,Como consultar limite?
Limite,Limite disponível agora
Limite,Quero limite emergencial
Limite,Como liberar limite?
Limite,Meu limite está zerado
Limite,Limite para compras online
Limite,Preciso de mais limite
Limite,Limite insuficiente
Limite,Como pedir aumento?
Limite,Limite para parcelamento
Limite,Meu limite foi bloqueado
Limite,Limite total do cartão
Limite,Quanto posso gastar?
Limite,Quero ver limite restante
Limite,Limite disponível hoje
Limite,Quero consultar limite atual
Limite,Limite não atualiza
Limite,Como liberar limite rápido?
Limite,Limite internacional
Limite,Quero aumentar limite urgente
Limite,Meu limite não voltou
Limite,Como funciona limite?
Limite,Limite compartilhado
Limite,Quero saber limite aprovado
Limite,Limite incorreto
Limite,Quero ajuste no limite
Limite,Limite bloqueado temporariamente
Limite,Como recuperar limite?
Limite,Limite disponível baixo
Limite,Quero mais crédito
Limite,Limite não aparece
Limite,Como ver limite no app?
Limite,Limite máximo
Limite,Quero consultar limite restante
Limite,Limite disponível insuficiente
Limite,Quero aumento automático
Limite,Limite foi reduzido
Limite,Como verificar limite?
Limite,Limite não liberado
Limite,Quero limite maior
Limite,Limite disponível atualizado
Limite,Como solicitar aumento?
Limite,Limite do cartão atual
Limite,Quero saber quanto tenho
Limite,Limite bloqueado por segurança
Limite,Como usar limite?
Limite,Limite disponível para compra
Limite,Quero aumentar crédito
Limite,Limite atual do cartão
Limite,Limite não mudou
Limite,Quero ver limite agora
Limite,Limite disponível hoje
Limite,Como saber limite?
Limite,Limite está errado
Limite,Quero corrigir limite
Limite,Limite não liberado ainda
Limite,Como pedir mais limite?
Limite,Limite disponível correto
Limite,Quero ver limite total
Limite,Limite foi alterado
Limite,Como aumentar crédito?
Limite,Limite não suficiente
Limite,Quero consultar limite online
Limite,Limite disponível atualizado
Limite,Como melhorar limite?
Limite,Limite atual disponível
Limite,Quero mais limite agora
Limite,Limite não aparece no app
Limite,Como desbloquear limite?
Limite,Limite reduzido
Limite,Quero recuperar limite
Limite,Limite insuficiente para compra

Cartão,Meu cartão não funciona
Cartão,Como desbloquear cartão?
Cartão,Quero novo cartão
Cartão,Perdi meu cartão
Cartão,Cartão foi roubado
Cartão,Como bloquear cartão?
Cartão,Quero ativar cartão
Cartão,Cartão recusado
Cartão,Como mudar senha?
Cartão,Quero cartão virtual
Cartão,Cartão não passa
Cartão,Segunda via do cartão
Cartão,Cartão venceu
Cartão,Quero cancelar cartão
Cartão,Onde está meu cartão?
Cartão,Cartão com problema
Cartão,Ativar internacional
Cartão,Cartão não funciona online
Cartão,Ver dados do cartão
Cartão,Mudar tipo de cartão
Cartão,Cartão bloqueado
Cartão,Usar cartão virtual
Cartão,Cartão não chegou
Cartão,Adicionar na carteira
Cartão,Cartão inválido
Cartão,Atualizar dados
Cartão,Cartão recusado compra
Cartão,Ver limite do cartão
Cartão,Cartão no exterior
Cartão,Habilitar aproximação
Cartão,Cartão não reconhecido
Cartão,Cartão expirado
Cartão,Quero suporte cartão
Cartão,Cartão bloqueado segurança
Cartão,Ativar cartão novo
Cartão,Cartão não funciona app
Cartão,Problema no cartão
Cartão,Cartão não autorizado
Cartão,Ver status cartão
Cartão,Cartão em análise
Cartão,Cartão cancelado
Cartão,Cartão digital
Cartão,Cartão físico
Cartão,Cartão não funciona hoje
Cartão,Cartão travado
Cartão,Cartão sem contato
Cartão,Cartão recusado online
Cartão,Cartão bloqueado compra
Cartão,Cartão não valida
Cartão,Cartão ativo?
Cartão,Cartão precisa desbloqueio
Cartão,Cartão não aprovado
Cartão,Cartão sem limite
Cartão,Cartão não funciona fora
Cartão,Cartão não aceito
Cartão,Cartão com erro
Cartão,Cartão precisa atualização
Cartão,Cartão não autorizado compra
Cartão,Cartão bloqueado app

Cumprimento,Oi
Cumprimento,Olá
Cumprimento,Bom dia
Cumprimento,Boa tarde
Cumprimento,Boa noite
Cumprimento,Tudo bem?
Cumprimento,Preciso de ajuda
Cumprimento,Pode me ajudar?
Cumprimento,Tem alguém aí?
Cumprimento,Quero falar com suporte
Cumprimento,Estou com uma dúvida
Cumprimento,Pode me atender?
Cumprimento,Oi tudo bem?
Cumprimento,Olá preciso de ajuda
Cumprimento,Bom dia pode ajudar?
Cumprimento,Boa tarde tenho dúvida
Cumprimento,Boa noite pode ajudar?
Cumprimento,Oi preciso resolver algo
Cumprimento,Olá pode me orientar?
Cumprimento,Preciso falar com alguém
Cumprimento,Tem atendimento agora?
Cumprimento,Oi estou com problema
Cumprimento,Olá estou com dificuldade
Cumprimento,Pode dar suporte?
Cumprimento,Oi pode ajudar agora?
Cumprimento,Olá preciso de suporte
Cumprimento,Bom dia preciso ajuda
Cumprimento,Boa tarde preciso suporte
Cumprimento,Boa noite preciso ajuda
Cumprimento,Oi gostaria de informações
Cumprimento,Olá quero ajuda
Cumprimento,Preciso de atendimento
Cumprimento,Oi alguém pode ajudar?
Cumprimento,Olá preciso resolver algo
Cumprimento,Oi pode verificar?
Cumprimento,Olá pode conferir?
Cumprimento,Oi quero suporte
Cumprimento,Olá preciso falar
Cumprimento,Oi estou com dúvida
Cumprimento,Olá pode me ajudar nisso?